momentum_window,top_n,holding_months,trades,avg_return,median_return,win_rate,best_return,worst_return,avg_available_universe_size
6,1,1,127,0.04562230025663748,0.018279587653664775,0.5669291338582677,0.8128573411078648,-0.41011952536559404,90.78740157480316
6,1,2,126,0.11363300161993234,0.07107998047833985,0.626984126984127,1.3292620693396717,-0.4006435912172921,90.71428571428571
6,1,3,125,0.1720373321243443,0.08352415246293599,0.624,1.6447501455040907,-0.4876768436876804,90.64
6,2,1,127,0.03960435541632514,0.018047998881951244,0.6062992125984252,0.46168220663249804,-0.28125549466784133,90.78740157480316
6,2,2,126,0.09755481903382868,0.055819913565202495,0.6666666666666666,1.3247771490365594,-0.33450250298786166,90.71428571428571
6,2,3,125,0.15207163815095895,0.11299773646516353,0.704,1.4433400889780097,-0.3818732726538773,90.64
6,3,1,127,0.03725305394650218,0.020489132943952087,0.5905511811023622,0.5471292323281384,-0.28202945326309564,90.78740157480316
6,3,2,126,0.09005356462495746,0.07221943669073805,0.6825396825396826,1.27561875414089,-0.30378353396489605,90.71428571428571
6,3,3,125,0.13085104565757766,0.08769717045688763,0.736,1.327016368603423,-0.3310735342848313,90.64
