decision_month,decision_date,sell_date,universe_asof_date,raw_universe_size,available_universe_size,momentum_window,holding_months,top_n,stock_1,mom_1,stock_1_return,stock_2,mom_2,stock_2_return,stock_3,mom_3,stock_3_return,avg_momentum,holding_return
2016-04,2016-04-01,2016-07-01,2016-04-01,105,79,3,3,2,BBBY,0.0891611421789628,0.08344554195432252,MAT,0.0862124640557826,-0.06765017399423257,,,,0.0876868031173727,0.007897683980044978
2016-04,2016-04-01,2016-05-02,2016-04-01,105,79,3,1,3,BBBY,0.0891611421789628,0.02759090246022944,MAT,0.0862124640557826,-0.08552256444132889,FAST,0.07225732908269718,-0.03266817682521972,0.08254364510581419,-0.030199946268773054
2016-04,2016-04-01,2016-06-01,2016-04-01,105,79,3,2,3,BBBY,0.0891611421789628,0.15074029451850968,MAT,0.0862124640557826,-0.05937571215517268,FAST,0.07225732908269718,-0.04871515832696738,0.08254364510581419,0.014216474678789873
2016-04,2016-04-01,2016-07-01,2016-04-01,105,79,3,3,3,BBBY,0.0891611421789628,0.08344554195432252,MAT,0.0862124640557826,-0.06765017399423257,FAST,0.07225732908269718,-0.06825933658415195,0.08254364510581419,-0.017487989541354
2016-05,2016-05-02,2016-06-01,2016-05-02,107,81,3,1,1,BBBY,0.11481557583041802,0.11984282048764672,,,,,,,0.11481557583041802,0.11984282048764672
2016-05,2016-05-02,2016-07-01,2016-05-02,107,81,3,2,1,BBBY,0.11481557583041802,0.054354937709517825,,,,,,,0.11481557583041802,0.054354937709517825
2016-05,2016-05-02,2016-08-01,2016-05-02,107,81,3,3,1,BBBY,0.11481557583041802,0.07400125257966716,,,,,,,0.11481557583041802,0.07400125257966716
2016-05,2016-05-02,2016-06-01,2016-05-02,107,81,3,1,2,BBBY,0.11481557583041802,0.11984282048764672,ADSK,0.08859783967183699,-0.05002443780765986,,,,0.1017067077511275,0.03490919133999343
2016-05,2016-05-02,2016-07-01,2016-05-02,107,81,3,2,2,BBBY,0.11481557583041802,0.054354937709517825,ADSK,0.08859783967183699,-0.11455106569416018,,,,0.1017067077511275,-0.030098063992321178
2016-05,2016-05-02,2016-08-01,2016-05-02,107,81,3,3,2,BBBY,0.11481557583041802,0.07400125257966716,ADSK,0.08859783967183699,-0.026560164278756515,,,,0.1017067077511275,0.023720544150455325
2016-05,2016-05-02,2016-06-01,2016-05-02,107,81,3,1,3,BBBY,0.11481557583041802,0.11984282048764672,ADSK,0.08859783967183699,-0.05002443780765986,BKNG,0.08043499589713539,-0.05800155118182149,0.09461613713313012,0.00393894383272179
2016-05,2016-05-02,2016-07-01,2016-05-02,107,81,3,2,3,BBBY,0.11481557583041802,0.054354937709517825,ADSK,0.08859783967183699,-0.11455106569416018,BKNG,0.08043499589713539,-0.06583664177463033,0.09461613713313012,-0.042010923253090894
2016-05,2016-05-02,2016-08-01,2016-05-02,107,81,3,3,3,BBBY,0.11481557583041802,0.07400125257966716,ADSK,0.08859783967183699,-0.026560164278756515,BKNG,0.08043499589713539,-0.0004498197562331496,0.09461613713313012,0.015663756181559168
2016-06,2016-06-01,2016-07-01,2016-06-01,107,81,3,1,1,NVDA,0.13444065033187155,-0.003204530554660745,,,,,,,0.13444065033187155,-0.003204530554660745
2016-06,2016-06-01,2016-08-01,2016-06-01,107,81,3,2,1,NVDA,0.13444065033187155,0.21192056695093076,,,,,,,0.13444065033187155,0.21192056695093076
2016-06,2016-06-01,2016-09-01,2016-06-01,107,81,3,3,1,NVDA,0.13444065033187155,0.3515569886097265,,,,,,,0.13444065033187155,0.3515569886097265
2016-06,2016-06-01,2016-07-01,2016-06-01,107,81,3,1,2,NVDA,0.13444065033187155,-0.003204530554660745,ULTA,0.12046490451272714,0.029829360469239452,,,,0.12745277742229935,0.013312414957289354
2016-06,2016-06-01,2016-08-01,2016-06-01,107,81,3,2,2,NVDA,0.13444065033187155,0.21192056695093076,ULTA,0.12046490451272714,0.10093804034024756,,,,0.12745277742229935,0.15642930364558916
