momentum_window,top_n,holding_months,trades,avg_return,median_return,win_rate,best_return,worst_return,avg_available_universe_size
3,1,1,128,0.015046406331415258,-0.005750997208539055,0.484375,0.8128573411078648,-0.35241120487373445,91.328125
3,1,2,126,0.06483617727171664,0.008977483248970075,0.5238095238095238,1.1214598983019939,-0.4152867946929496,91.3015873015873
3,1,3,125,0.1283139843800228,0.04839440646726523,0.52,1.5103229355775212,-0.5065620428402198,91.232
3,2,1,128,0.02581789613121699,0.0032065037054815337,0.515625,0.5836950213407026,-0.24591729456506517,91.328125
3,2,2,126,0.06570483484936791,0.020884201108321343,0.5555555555555556,1.0059249709094564,-0.3420228532370777,91.3015873015873
3,2,3,125,0.1029901478117168,0.04910413187876128,0.664,1.2668274018974406,-0.28367716253277514,91.232
3,3,1,128,0.027919119077743765,0.007216099727406167,0.5390625,0.5097421736849992,-0.27245778687361827,91.328125
3,3,2,126,0.06435126595008475,0.033993977459442715,0.6190476190476191,1.2161336971920145,-0.3140734288840022,91.3015873015873
3,3,3,125,0.09304216351028721,0.05181745512626287,0.704,1.1170130615230354,-0.2918788038783121,91.232
