decision_month,decision_date,sell_date,universe_asof_date,raw_universe_size,available_universe_size,momentum_window,holding_months,top_n,stock_1,mom_1,stock_1_return,stock_2,mom_2,stock_2_return,stock_3,mom_3,stock_3_return,avg_momentum,holding_return
2016-01,2016-01-04,2016-02-01,2016-01-04,104,75,6,1,1,NVDA,0.0839993632871517,-0.09484111118249261,,,,,,,0.0839993632871517,-0.09484111118249261
2016-01,2016-01-04,2016-03-01,2016-01-04,104,75,6,2,1,NVDA,0.0839993632871517,0.015424818323703127,,,,,,,0.0839993632871517,0.015424818323703127
2016-01,2016-01-04,2016-04-01,2016-01-04,104,75,6,3,1,NVDA,0.0839993632871517,0.12084325010675734,,,,,,,0.0839993632871517,0.12084325010675734
2016-01,2016-01-04,2016-02-01,2016-01-04,104,75,6,1,2,NVDA,0.0839993632871517,-0.09484111118249261,AMZN,0.07090585581991386,-0.09761538157961003,,,,0.07745260955353278,-0.09622824638105132
2016-01,2016-01-04,2016-03-01,2016-01-04,104,75,6,2,2,NVDA,0.0839993632871517,0.015424818323703127,AMZN,0.07090585581991386,-0.09097476984348896,,,,0.07745260955353278,-0.037774975759892915
2016-01,2016-01-04,2016-04-01,2016-01-04,104,75,6,3,2,NVDA,0.0839993632871517,0.12084325010675734,AMZN,0.07090585581991386,-0.060424853747184426,,,,0.07745260955353278,0.030209198179786456
2016-01,2016-01-04,2016-02-01,2016-01-04,104,75,6,1,3,NVDA,0.0839993632871517,-0.09484111118249261,AMZN,0.07090585581991386,-0.09761538157961003,GOOG,0.0649525762248036,0.013695502788403813,0.07328593177728972,-0.059586996657899606
2016-01,2016-01-04,2016-03-01,2016-01-04,104,75,6,2,3,NVDA,0.0839993632871517,0.015424818323703127,AMZN,0.07090585581991386,-0.09097476984348896,GOOG,0.0649525762248036,-0.031044475449203635,0.07328593177728972,-0.035531475656329824
2016-01,2016-01-04,2016-04-01,2016-01-04,104,75,6,3,3,NVDA,0.0839993632871517,0.12084325010675734,AMZN,0.07090585581991386,-0.060424853747184426,GOOG,0.0649525762248036,0.010878289340154668,0.07328593177728972,0.023765561899909193
2016-02,2016-02-01,2016-03-01,2016-02-01,105,76,6,1,1,NVDA,0.06909121909327838,0.12181941852247213,,,,,,,0.06909121909327838,0.12181941852247213
2016-02,2016-02-01,2016-04-01,2016-02-01,105,76,6,2,1,NVDA,0.06909121909327838,0.23828342620710297,,,,,,,0.06909121909327838,0.23828342620710297
2016-02,2016-02-01,2016-05-02,2016-02-01,105,76,6,3,1,NVDA,0.06909121909327838,0.23314503070779558,,,,,,,0.06909121909327838,0.23314503070779558
2016-02,2016-02-01,2016-03-01,2016-02-01,105,76,6,1,2,NVDA,0.06909121909327838,0.12181941852247213,KLAC,0.05244147031076344,0.03611280593224864,,,,0.060766344702020914,0.07896611222736039
2016-02,2016-02-01,2016-04-01,2016-02-01,105,76,6,2,2,NVDA,0.06909121909327838,0.23828342620710297,KLAC,0.05244147031076344,0.09724628186902495,,,,0.060766344702020914,0.16776485403806396
2016-02,2016-02-01,2016-05-02,2016-02-01,105,76,6,3,2,NVDA,0.06909121909327838,0.23314503070779558,KLAC,0.05244147031076344,0.05248520395596823,,,,0.060766344702020914,0.1428151173318819
2016-02,2016-02-01,2016-03-01,2016-02-01,105,76,6,1,3,NVDA,0.06909121909327838,0.12181941852247213,KLAC,0.05244147031076344,0.03611280593224864,TCOM,0.0502266242713029,-0.001667827658356602,0.05725310455844824,0.05208813226545472
2016-02,2016-02-01,2016-04-01,2016-02-01,105,76,6,2,3,NVDA,0.06909121909327838,0.23828342620710297,KLAC,0.05244147031076344,0.09724628186902495,TCOM,0.0502266242713029,0.06838221265136002,0.05725310455844824,0.13463730690916265
2016-02,2016-02-01,2016-05-02,2016-02-01,105,76,6,3,3,NVDA,0.06909121909327838,0.23314503070779558,KLAC,0.05244147031076344,0.05248520395596823,TCOM,0.0502266242713029,0.06123423630691205,0.05725310455844824,0.11562149032355862
2016-03,2016-03-01,2016-04-01,2016-03-01,105,76,6,1,1,NVDA,0.07821728572852867,0.10381707230386827,,,,,,,0.07821728572852867,0.10381707230386827
2016-03,2016-03-01,2016-05-02,2016-03-01,105,76,6,2,1,NVDA,0.07821728572852867,0.0992366599714849,,,,,,,0.07821728572852867,0.0992366599714849
2016-03,2016-03-01,2016-06-01,2016-03-01,105,76,6,3,1,NVDA,0.07821728572852867,0.43302507213416264,,,,,,,0.07821728572852867,0.43302507213416264
